1,Sardines with olives,275,14,23,1,ketodiet,"2 medium canned sardines
10-15 black olives
1 tbsp of garlic powder or 1 clove fresh garlic 
2 tbsp of finely chopped parsley
2 tbsp of olive oil"
2,Cheese pancakes with herbs and salted salmon,152,11.5,11,1.5,ketodiet,"250g - cottage cheese (fat 9-18%)! preferably goats milk curd
130g salted salmon or trout
1 egg 
1/4 tsp salt
1/4 bunch green onions 
1/4 bunch parsley 
1/4 bunch dill 
1 tbsp frying ghee oil  "
3,Scramble with stewed herbs! salted salmon and avocado,145,10.5,11,2,ketodiet,"6 eggs 
200g salted salmon  
1 avocado                                  
25g ghee oil 
Green onions to taste 
Black pepper to taste 
Salt to taste                       
Spinach and beet tops                                              "
4,Raspberry Pudding,130,2,10,8,ketodiet,"220ml coconut milk      
270g frozen raspberries           
erythritol to taste                       
1 tsp gelatin                              
2 tbsp unrefined coconut oil "
5,Salad with beef,263,17,20,3.5,ketodiet,"Beef: 
300g beef 
1 tbsp olive oil 
1 tbsp sugar-free soy sauce 
1 tbsp finely chopped ginger 
Salad sauce:  
2 tbsp sugar-free olive oil mayonnaise 
1 tablespoon sesame oil 
1/2 tablespoon lemon juice 
 salt / pepper to taste 
Salad: 
100g cherry tomatoes 
100g cucumber 
100g Romaine lettuce 
1/2 red onion 
fresh parsley to taste 
1 tbsp sesame seeds
"
6,Linseed currant pudding,275,8,23,7,ketodiet,"1/2 cup ground or soaked flax seeds 
1 cup coconut milk                  
1.5 tbsp coconut oil                           
2/3 cup defrosted currants                        
1/2 cup soaked cashews  
erythritol to taste                                               
Additives for serving: cocoa nibs! hemp seeds! chia
seeds"
7,Meat pie,355,22,27,6,ketodiet,"Dough layer: 
3/4 cup almond flour 
4 tbsp of sesame seeds 
4 tbsp of coconut flour 
1 tbsp of psyllium 
1 tbsp of baking soda or baking powder 
salt to taste 
3  tbsp  of olive oil 
1 egg 
4 tbsp water 
Topping:                                   
150g goat hard cheese 
Filling 
400g ground beef  
1/2 onion 
1 clove of garlic 
2 tbsp of olive oil 
150g of internal fat or fat tail
1 tbsp dry oregano 
salt / pepper to taste 
4 tbsp tomato paste 
1/2 glass of water                         
For filing: 
about 50-100g of any greens to taste and fresh
vegetables (celery! cucumber! cherry tomatoes! radishes)     "
8,Zucchini pasta with pesto and shrimps,151,9,11,4,ketodiet,"Medium zucchini 2 pcs.
200g boiled shrimps 
Olive oil 1 tbsp 
Chopped garlic clove 1 pc.
Ground chili 1/8 tsp 
Pesto "
9,Celery sticks with guacamol,130,1,12,4.5,ketodiet,"4 celery stalks         
100g of avocado                    
10ml of olive oil    
2 cloves of garlic        
salt to taste                    
10g of parsley            
30g of tomatoes"
10,Chicken Soup,107,11,6.5,0.1,ketodiet," 300gr of fatty parts of chicken 
 40g chopped white cabbage
25g of ghee or olive oil 
 ½ tbsp dry onion in spices 
 ½ celery stalk 
 50g champignons 
 1 clove of garlic 
 3 cups bone broth 
1 /4 large carrot 
 1/2 tbsp of dry parsley 
 salt / pepper to taste "
11,Keto pizza,214,13,17,4,ketodiet,"Pizza base: 
4 eggs 
1 finely grated zucchini                    
100g almond flour  
psyllium 1 tbsp 
Topping: 
3 tbsp of tomato paste 
1 tbsp of dry oregano 
100g of goat cheese (any) 
70g dried turkey without preservatives 
 30g olives
20g of fresh basil for serving     
10g of olive oil for serving
"
12,Salad with bacon and avocado,272,11,24,4.5,ketodiet,"120g goat cheese 
120g turkey or beef bacon 
1 avocado 
50g arugula  
30g walnut 
Dressing 
1/2 tbsp of lemon juice 
1  tbsp mayonnaise in olive oil 
1.5 tbsp olive oil                             
salt / pepper to taste"
13,Fritata with spinach and cod liver,234,7,22.5,1.5,ketodiet,"120g of fresh or frozen spinach 
120g of cod liver (60g for serving)
5 eggs 
70ml full fat coconut milk 
40g leeks 
1.5 tablespoons olive oil or ghee oil 
salt / pepper to taste           "
14,Fish casserole,164,13,12,2,ketodiet,"200g broccoli 
400g fatty fish (salmon! trout) 
3 sprigs of green  onions 
1 tbsp capers 
2.5 tbsp ghee oil 
2/3 cup coconut cream 
1/2 tbsp of mustard 
 salt / pepper to taste 
 ½ tbsp of dry parsley
1 tbsp of olive oil "
