1,Baked salmon with salsa sauce,128,17.3,5.5,2.4,vegetarian with fish,"200g salmon
1 tbsp. of olive oil
1/4 tbsp. of salt
1/4 tsp. of ginger powder
For salsa:
1/2 peach
1/2 cucumber
1 tbsp. of finely chopped parsley
1 tbsp. of finely chopped green onions
1/2 tbsp. of olive oil
1/2 tbsp. of lemon juice
salt to taste"
2,Shrimp salad,105.2,8.6,5.9,28.5,vegetarian with fish,"1.5 cucumbers (120g)
120g of apple
200g boiled shrimp
1 medium avocado
20g parsley
2 tbsp. of finely chopped mint
2 tbsp. of olive oil
2 tbsp. of lemon juice
1 clove of garlic
salt to taste "
3,Baked sweet potato with sardines,110.5,6.2,6.5,7,vegetarian with fish,"100g of champignons
10g of Atlantic anchovies
100g of sardines
2 sweet potatoes
10ml of olive oil
5g of garlic
50g spinach
1 tbsp. of oregano
15g red onion"
4,Toasts with cod liver,597,10,52.4,21.5,vegetarian with fish,"200g of coconut flour
100g of cod liver
50g of cucumber
30g of gelatin
50g of water
200ml of olive oil
1 tbsp. of baking powder
1 tbsp. of dry oregano
salt / pepper to taste
1 tsp. of garlic powder       "
5,Gluten-free salmon pasta,275,12,11.5,30.5,vegetarian with fish,"200g gluten-free pasta
150g of salmon
2-3 tbsp. olive oil
cumin! black pepper! salt to taste
1/2 cup of full-fat coconut milk
1.5 cups of young spinach
3-4 cups of walnuts or pine nuts"
6,Quesadilla with salted salmon! avocado and cucumbers,377,15,48,46,vegetarian with fish,"1/2 avocado (100g)
70g of salmon
40g pf cucumber
1/2 tsp. of baking soda
100g of warm water
3 tbsp. of olive oil or avocado oil        "
7,Fish saute,105,13,5,2,vegetarian with fish,"300g white fish fillet (tilapia / Dorado fish / hake)
100g of leek
15ml of coconut amino sauce
salt to taste
15ml of olive oil  "
8,Salad with sardines,134,8,10.5,2,vegetarian with fish,"190g of sardines without oil
200g of spinach
50g of cucumber
30g of olives
15ml of lemon juice
15 ml of olive oil
salt to taste    "
9,Zucchini pasta with shrimps,42,6,5.2,3,vegetarian with fish,"200g zucchini 1 pc.
120g large shrimps! peeled 6 pcs.
1 tbsp. fish sauce
1 pc lime .
Pink salt to taste
2 cloves garlic "
10,Herring salad with avocado,127,15,10,8,vegetarian with fish,"2 pcs. salted herring fillet
1 pc. leek stalk
2 pcs. avocado
granular mustard! olive oil or mayonnaise"
